"raw_od_wt","dil_od_wt"
1.872,4.44
1.794,3.84
1.689,3.36
1.555,2.72
1.394,2.14
1.289,1.86
1.176,1.59
1.051,1.38
0.871,0.99
0.7,0.78
0.479,0.5
0.243,0.275
0.123,0.0799999999999999
0.069,0.01
0.0,0.0
