Label,Glucose_mM,K2HPO4_mM,KH2PO4_mM,Na2HPO4_mM,NH4Cl_mM
Curve01812,2,61.5,22,42.3,1
Curve01813,2,61.5,22,42.3,1
Curve01814,2,61.5,22,42.3,1
Curve01891,2,61.5,22,42.3,1
Curve01892,2,61.5,22,42.3,1
Curve01893,2,61.5,22,42.3,1
Curve01894,2,61.5,22,42.3,1
Curve01895,2,61.5,22,42.3,1
Curve01896,2,61.5,22,42.3,1
Curve01897,2,61.5,22,42.3,1
Curve01898,2,61.5,22,42.3,1
Curve01973,2,61.5,22,42.3,1
Curve01974,2,61.5,22,42.3,1
Curve01975,2,61.5,22,42.3,1
Curve01976,2,61.5,22,42.3,1
Curve01977,2,61.5,22,42.3,1
Curve01978,2,61.5,22,42.3,1
Curve01979,2,61.5,22,42.3,1
Curve02055,2,61.5,22,42.3,1
Curve02056,2,61.5,22,42.3,1
Curve02057,2,61.5,22,42.3,1
Curve02058,2,61.5,22,42.3,1
Curve02059,2,61.5,22,42.3,1
Curve02137,2,61.5,22,42.3,1
Curve02138,2,61.5,22,42.3,1
Curve02139,2,61.5,22,42.3,1
Curve02140,2,61.5,22,42.3,1
Curve02141,2,61.5,22,42.3,1
Curve02142,2,61.5,22,42.3,1
Curve02219,2,61.5,22,42.3,1
Curve02220,2,61.5,22,42.3,1
Curve02221,2,61.5,22,42.3,1
Curve02222,2,61.5,22,42.3,1
Curve02223,2,61.5,22,42.3,1
Curve02224,2,61.5,22,42.3,1
Curve02301,2,61.5,22,42.3,1
Curve02302,2,61.5,22,42.3,1
Curve02303,2,61.5,22,42.3,1
Curve02304,2,61.5,22,42.3,1
Curve02305,2,61.5,22,42.3,1
Curve02306,2,61.5,22,42.3,1
Curve02307,2,61.5,22,42.3,1
Curve02383,2,61.5,22,42.3,1
Curve02384,2,61.5,22,42.3,1
Curve02385,2,61.5,22,42.3,1
Curve02386,2,61.5,22,42.3,1
Curve02387,2,61.5,22,42.3,1
Curve02388,2,61.5,22,42.3,1
Curve02389,2,61.5,22,42.3,1
Curve02465,2,61.5,22,42.3,1
Curve02466,2,61.5,22,42.3,1
Curve02467,2,61.5,22,42.3,1
Curve02468,2,61.5,22,42.3,1
Curve02469,2,61.5,22,42.3,1
Curve02470,2,61.5,22,42.3,1
Curve02471,2,61.5,22,42.3,1
Curve02472,2,61.5,22,42.3,1
Curve02547,2,61.5,22,42.3,1
Curve02548,2,61.5,22,42.3,1
Curve02549,2,61.5,22,42.3,1
Curve02550,2,61.5,22,42.3,1
Curve02551,2,61.5,22,42.3,1
Curve02552,2,61.5,22,42.3,1
