round,label,gr,exit_lag_rate,N_max,shape,aicc,loss,n_timepoints,converged
1,Curve01811,0.2505869940479178,0.26004428070624014,0.3324673872717367,2.7900442666407264,-277.17509622319903,1.5361325367108606e-5,91,true
1,Curve00909,0.276497938385907,0.2107396895845464,0.33307353416521657,2.6448843421210366,-308.5701096136838,2.4042912089665017e-5,43,true
1,Curve02139,0.27005602063663314,0.20685091057469754,0.3371336985685306,2.698704829558233,-319.78908798533996,2.367097597411573e-5,44,true
1,Curve01483,0.25768298140505635,0.15275647527102318,0.3460968908508055,2.5281601285220585,-351.468140541392,1.7377852225196703e-5,46,true
1,Curve01893,0.24846029228686178,0.32833783364552444,0.33785188549042094,2.6934671403264847,-271.906376872457,1.8812020670391883e-5,91,true
1,Curve00334,0.2196653292176088,0.36351278553637484,0.33778953094806446,3.5186824459624804,-229.5254679013299,2.807455404166223e-5,36,true
1,Curve02303,0.28238662016226873,0.23401849280374057,0.3458362351685577,2.7695971446285728,-288.7724119383807,4.651447215687134e-5,43,true
1,Curve01402,0.2619628770009801,0.2682635711563781,0.3439685380279378,3.0417041396234934,-340.67223181833384,4.4448601148224826e-5,48,true
1,Curve02468,0.26367942779278036,0.24535596282634772,0.3359187211085284,2.9710696724144463,-307.0545383168403,3.569610502890614e-5,44,true
1,Curve00170,0.20036659126930925,0.5490804975877338,0.3394262891923462,3.7181200538635246,-315.06178566956476,3.838682766448938e-5,45,true
1,Curve02221,0.26392293334181455,0.22114312363172509,0.33911828291016155,2.9177784200968735,-315.9891397641896,2.6757869850361494e-5,44,true
1,Curve00992,0.3959545432696744,0.050905550654898525,0.33274673334212035,2.17193147355922,-346.0320432230338,6.633824525934394e-5,50,true
1,Curve01647,0.28019082809541224,0.17841183598856744,0.3395971805215746,2.7362339522408337,-286.1319745837921,2.4863343807515385e-5,41,true
1,Curve01073,0.2401545377180735,0.25014423688881754,0.33366429581873525,2.9429559741959745,-300.6495512362714,2.181215889548408e-5,42,true
1,Curve01976,0.2203810446098285,0.3720505647170235,0.3253607250645395,3.162472150268968,-385.7533215061218,1.2259514842029017e-5,48,true
1,Curve01320,0.3598704512738028,0.3074466655079464,0.3797245478122086,1.7141302705028045,-218.46367054229236,6.945196735742724e-5,48,true
1,Curve01730,0.2756785805693411,0.24088380338283927,0.34497593293482154,2.599546841629123,-299.68307101517826,2.255133951063832e-5,42,true
1,Curve01156,0.2347776348140294,0.3787642795293066,0.3411767408044989,3.237860653051967,-293.5426049972548,2.7869549401687685e-5,42,true
1,Curve01239,0.27384000780903006,0.21593768237657676,0.34058242500443836,2.561690294550225,-320.0723697968707,1.6386069690062266e-5,43,true
1,Curve00910,0.26869389732978777,0.23028346692045676,0.33815135679820774,2.7208842336012142,-310.2932695375345,2.270083194510308e-5,43,true
1,Curve00827,0.27008226234974647,0.21342653951816992,0.3304370540617217,2.7824641318651344,-310.0740348015155,2.2867333282020474e-5,43,true
1,Curve02549,0.3053711983584924,0.16066157139014037,0.345225164440499,2.590739376622389,-309.5154134159093,4.565159307861979e-5,45,true
1,Curve00582,0.24480393257214997,0.2617392224401156,0.32693143235107797,3.1700859086918762,-358.35485424484733,2.6819137208184876e-5,48,true
1,Curve02386,0.24718676762548736,0.2589899989157067,0.331184803305552,3.0958170456822653,-319.96223783326644,2.3539130787750733e-5,44,true
1,Curve01565,0.26919097232289807,0.22477017728332468,0.33916630703565476,2.6167212300408282,-303.1949317984637,1.3517744820358441e-5,41,true
1,Curve00663,0.24973259048644644,0.06344679667829747,0.3453240443855892,3.27804832593643,-318.2498457805257,8.434985519831886e-5,48,true
1,Curve01894,0.2303124467031177,0.3141220675082761,0.341133761402436,3.633072365026223,-244.04132166643998,5.4939300878760726e-5,91,true
1,Curve01484,0.24980215947229553,0.15065191948620232,0.31695127893612923,3.0186318260394684,-329.27553383217065,3.404556479429019e-5,46,true
1,Curve00088,0.21105680922554113,0.4793061404367893,0.33803885983258863,3.5051565280748833,-310.57664774373956,3.1862352705536456e-5,44,true
1,Curve00993,0.40016605596310206,0.05194707614579363,0.3221628360336613,2.235092999589891,-338.73848531197336,8.079295484685428e-5,50,true
1,Curve00171,0.21986060963578272,0.6131550922073475,0.3477111820149276,3.1861815343466824,-326.7397957894432,2.664966432716037e-5,45,true
1,Curve00746,0.23356220334223263,0.33686060123899586,0.3368272660667924,3.6938377151833066,-334.6356097801231,5.281569533179153e-5,48,true
1,Curve01403,0.2310706890481019,0.31881961298537753,0.3351067824433834,3.6641684832609034,-334.9439420200482,5.235245928932674e-5,48,true
1,Curve02387,0.29334776008281793,0.21421571490985455,0.3596462638414802,2.2757593720067355,-319.8288654615607,2.3640622172308886e-5,44,true
1,Curve02140,0.27271414961128004,0.20472221336136756,0.3361303383203125,2.7523252596944774,-315.78714307212516,2.693279401362487e-5,44,true
1,Curve01812,0.2463128026807329,0.2869799443729017,0.34098662156006176,2.8625195553113225,-268.7990642679142,2.1200146374706505e-5,91,true
1,Curve00253,0.24351356926752762,0.25775559358789946,0.2808127064419084,2.5949438686646085,-393.8710084028866,6.908481133632693e-6,47,true
1,Curve00001,0.000531294455035045,49.99999999893754,5.216871111818675,22.524364064402814,-500.49040917312476,3.002574751484257e-7,47,true
1,Curve02304,0.2866549039660061,0.27712328903099626,0.3596434759751705,2.544641215023558,-296.9418400686485,3.5426113664937355e-5,43,true
1,Curve00498,0.3623931132305939,0.03431097175959868,0.3173130951572267,3.2460530031702857,-223.24852603412322,0.0001715595143159474,40,true
1,Curve02469,0.25621665062814014,0.2574027709502167,0.3303297264920954,2.9761413370134475,-313.8345805390174,2.868374369687764e-5,44,true
1,Curve00417,0.254562849389959,0.28454252803945396,0.3403325441475162,2.8565311142162164,-237.74737591701037,1.9636485765609747e-5,36,true
1,Curve01731,0.3059999464577186,0.17136673999610239,0.33634201953585263,2.2989049427256143,-303.4568153647439,1.979967157584423e-5,42,true
1,Curve00911,0.2612178672680826,0.2275414105264858,0.33520779049634514,2.779895363518503,-312.41845605981086,2.1148352841759406e-5,43,true
1,Curve01566,0.27112148446063894,0.22392899531920327,0.33962802502914885,2.6185839229416175,-301.3438878804198,1.444158605204737e-5,41,true
1,Curve01074,0.26621609534834,0.21456442675317408,0.33966455546378604,2.7531670654281766,-294.4733777797206,2.698926138241028e-5,42,true
1,Curve01895,0.2347795546736527,0.3721925392070267,0.33514246643389284,2.8212745170656675,-272.80051321663717,1.8176075629393495e-5,91,true
1,Curve01157,0.24455994827663888,0.33892582197223703,0.35347704704761485,3.1508484295634602,-282.8767040733631,4.025862878064777e-5,42,true
1,Curve01977,0.22604228445415395,0.3459364111476832,0.3234078823869585,2.8180032625225806,-412.70469496379354,5.676092839408633e-6,48,true
1,Curve01321,0.2518461993944646,0.26303817152999,0.33718863624493084,3.2636850221934366,-338.9249675131235,4.672387745394059e-5,48,true
1,Curve02222,0.27607616276773017,0.19758029894073798,0.3393458146239496,2.7240151054370956,-321.70782255596475,2.225028887430567e-5,44,true
1,Curve00583,0.24644594492013658,0.23660257651356179,0.3202367381127767,3.222251952179347,-352.71861062073395,3.150515678005707e-5,48,true
1,Curve02058,0.251634434584735,0.21595327234836237,0.3320097124473991,3.1510018639267434,-292.4910995571358,2.8898609558004404e-5,42,true
1,Curve00828,0.2840741647887434,0.2023976997809795,0.3403929964529908,2.4830800436607294,-310.7741113989256,2.2339881993559172e-5,43,true
1,Curve00172,0.21951021238711915,0.5814524897103235,0.34360005960215173,3.294584478288912,-325.96106285038223,2.730615021104365e-5,45,true
1,Curve01240,0.26772262142696823,0.24652976560903833,0.3471982180624157,2.748473075178586,-309.1249939932514,2.360229826788777e-5,43,true
1,Curve01404,0.25550221955779495,0.2636170057715048,0.3354524834418132,3.164132607183791,-338.1845672459735,4.772281673907756e-5,48,true
1,Curve01648,0.28202774871604885,0.18326331725227904,0.34956681470411094,2.5142729260741135,-289.7808957487717,2.1825433619226946e-5,41,true
1,Curve00335,0.2102243063911151,0.43083542923345136,0.33341238878937873,3.646217907795635,-223.34022254538021,3.673710673987596e-5,36,true
1,Curve01485,0.2636759201820604,0.139572312127255,0.3246665822519234,2.6377649170757467,-344.5751281336498,2.1414659239266727e-5,46,true
1,Curve00089,0.20438660654472984,0.48627073911555646,0.33119185685847347,3.7463084158256548,-316.56642345800634,2.626419422952871e-5,44,true
1,Curve02141,0.2605845396946643,0.22006587992507207,0.3316388510662195,2.7055757369741933,-332.6046459989404,1.5655848574407978e-5,44,true
1,Curve02388,0.28522010192351455,0.23633304139751232,0.33950513823927847,2.7108415739746605,-296.54736580530107,5.0098077232474295e-5,44,true
1,Curve00747,0.24553073193080588,0.2628995004337708,0.332731527108953,3.4397358475270536,-333.38854606680064,5.473146641500492e-5,48,true
1,Curve02305,0.2836771253721905,0.19782092731799988,0.33866800912678163,2.512788944256021,-312.11171642107695,2.1365696684819362e-5,43,true
1,Curve01158,0.2540699582521435,0.3336953942219188,0.3473183610397359,2.6565469647466085,-308.0588705848887,1.6894257835892957e-5,42,true
1,Curve00584,0.24817286633481,0.2366072899238299,0.3219308089516179,3.085626003746631,-366.52670094202443,2.1234651953740065e-5,48,true
1,Curve00664,0.16853369072813296,0.133046612903688,0.3725959584184561,3.902007714706799,-309.8545504051863,0.00010721526913627111,48,true
1,Curve01896,0.27218306270168946,0.2735426878285553,0.3486187282579031,2.343809487961792,-276.7911470689609,1.5589853501637238e-5,91,true
1,Curve02550,0.3195953321909875,0.1381608940925752,0.34203321566653483,2.244362243170335,-331.5078272041142,2.2960505166172457e-5,45,true
1,Curve01732,0.256655844679387,0.23398660038523675,0.3335444980250324,3.0597549988336343,-294.8360954553937,2.6653795327318825e-5,42,true
1,Curve00254,0.25963410098988904,0.21246849325799297,0.32330437644081206,3.239469991061267,-329.6517511532533,4.5675017729556e-5,47,true
1,Curve01322,0.27611532786637233,0.23252694575588,0.34813379786691045,2.7418994772271077,-347.64361096222274,3.642120754988851e-5,48,true
1,Curve01567,0.2591602104262203,0.2206809890523832,0.3329285765557504,2.6610890764757062,-303.3065412597005,1.3463969630610997e-5,41,true
1,Curve00994,0.38553309353077025,0.05930734945751716,0.33936736047908944,2.2440322120513865,-338.37530942548966,8.158988808266476e-5,50,true
1,Curve00173,0.20801326690076882,0.6835750167859291,0.3349153334582216,4.040394540618161,-312.239588861707,4.192607806120556e-5,45,true
1,Curve01405,0.23323981751656642,0.3047340969428374,0.351917236254897,3.8399859807458867,-315.57917995857235,9.103807540796474e-5,48,true
1,Curve01241,0.2802424289298896,0.20977299426015422,0.3446062181010711,2.53287592811417,-316.86870161978663,1.8232769625938183e-5,43,true
1,Curve01649,0.27843586565088624,0.1894540332812261,0.34362834835423567,2.7675610620861972,-283.0688727669352,2.7737660538722798e-5,41,true
1,Curve01075,0.25500925181579087,0.21370004514987034,0.3263805644343045,2.708856917507161,-307.72978606698524,1.7087061388567397e-5,42,true
1,Curve00090,0.22041932056155122,0.42334988445703464,0.3387413747281855,3.2369287440446426,-315.6485367805104,2.7053484746383177e-5,44,true
1,Curve00829,0.29448363375974007,0.17345549644318314,0.3517001877598242,2.664130159834376,-304.6937653938098,2.7359168781615742e-5,43,true
1,Curve00912,0.2786287451102356,0.21691694839424183,0.34107723858116307,2.6492014275058025,-307.5067438546773,2.491040936270241e-5,43,true
1,Curve01486,0.209544577205783,0.2434861120558176,0.3205758347057655,3.468027943552773,-324.6607405033231,3.9155542782925465e-5,46,true
1,Curve01897,0.2453025850711037,0.2807136864861845,0.3431496675012455,2.86476134939319,-374.2353341907685,1.7037004422815768e-5,48,true
1,Curve02470,0.26364102585508004,0.243230975658002,0.33420266256052505,2.9349783888374383,-305.7994766448409,3.717094621452214e-5,44,true
1,Curve00418,0.25731887164816997,0.30061044017692773,0.3442784002923687,3.147743371704012,-218.8082250798549,4.473833297818125e-5,36,true
1,Curve01159,0.23458344415207996,0.361620686349205,0.3315385740563327,3.2096630607885634,-289.65566680802635,3.186687359241273e-5,42,true
1,Curve01978,0.2145606752789534,0.4121326819513182,0.3224932988709433,3.2661183975385404,-387.2743068565204,1.1738166573537773e-5,48,true
1,Curve02142,0.2878016574488575,0.20406167444688555,0.34733200743328574,2.5526445126678077,-314.8416639458282,2.776688098622927e-5,44,true
1,Curve01406,0.3331486175600179,0.18168754540653295,0.41297757389129397,1.9114948473097537,-350.9082032117222,3.317767353134992e-5,48,true
1,Curve00336,0.2236269376675049,0.3674022619987814,0.34084364762596003,3.4218469974167314,-225.40794595323555,3.357851101887184e-5,36,true
1,Curve02223,0.2727591038983101,0.21403485673379674,0.34213429780069926,2.7410620613319647,-316.50689964566277,2.631467315975702e-5,44,true
1,Curve01813,0.2422680600191075,0.24626803538387296,0.3358108792058,3.323333724882406,-259.7800204430487,2.9990911539415593e-5,91,true
1,Curve02306,0.30647086395486506,0.16832456828066972,0.3537219830232611,2.183599437347169,-326.53464328301874,1.3210638454676375e-5,43,true
1,Curve02551,0.2825261306816663,0.17255741133805053,0.33246179082189237,2.693952412406181,-320.75709319875324,3.212825981435805e-5,45,true
1,Curve01568,0.3155817308340708,0.18761368457536878,0.3503314617439731,2.172089964329961,-287.27297274783484,2.3870530105792084e-5,41,true
1,Curve01733,0.25912387020406275,0.3343518450149979,0.3465104775186112,2.6278727893500498,-288.5586099487403,3.309547518655001e-5,42,true
1,Curve02389,0.2604848200759324,0.22581374959937486,0.3325504999868684,2.87181696503344,-317.81111515538043,2.523054163634882e-5,44,true
